t,x,y,z,intensity
59,12411.1083984375,14214.7353515625,-184.9423828125,915.496215820312
61,11967.7001953125,13259.30859375,-575.633056640625,1329.74157714844
61,12370.6103515625,14180.2197265625,-379.506713867188,1529.53088378906
61,12450.740234375,14002.26171875,-521.880249023438,2253.90673828125
62,11630.65625,12869.52734375,-567.342407226562,1249.69409179688
62,12251.8935546875,14193.3095703125,-59.3133544921875,841.061828613281
63,11861.16015625,12928.96875,-242.702758789062,475.830108642578
63,12584.7021484375,13693.4482421875,-723.275268554688,3770.54711914062
64,12407.552734375,14124.0341796875,-119.645874023438,903.504943847656
65,12210.109375,14204.8779296875,-383.23046875,1455.33544921875
65,12217.9052734375,14162.275390625,-368.005981445312,1521.37548828125
66,12524.275390625,14399.138671875,20.2634887695312,682.519287109375
66,12711.0751953125,14115.30078125,-583.55126953125,2230.953125
67,12375.7109375,14269.8427734375,-310.615234375,1205.52478027344
67,12383.4755859375,14239.1513671875,-268.956298828125,1156.01318359375
68,12506.3466796875,14240.15234375,-317.201293945312,1009.47314453125
68,12509.36328125,14234.3349609375,-325.925659179688,1214.97436523438
69,12402.466796875,13934.8837890625,-573.253784179688,1664.88818359375
70,12258.884765625,14254.8935546875,-387.076782226562,1184.50341796875
71,12235.51171875,14097.94140625,177.017150878906,712.664001464844
71,12423.2529296875,13986.443359375,-569.605102539062,2139.63037109375
72,12400.775390625,14064.03515625,-393.339599609375,1376.73693847656
73,12358.22265625,14246.939453125,120.278747558594,731.184753417969
73,12606.0732421875,13975.1318359375,-704.609252929688,2828.92944335938
74,12281.966796875,14092.048828125,-236.589965820312,1054.97265625
74,12433.44921875,13916.2685546875,-567.590454101562,2790.0595703125
75,12377.283203125,9059.318359375,-105.450805664062,417.440032958984
77,12671.630859375,14378.537109375,987.405944824219,3428.61767578125
78,12366.208984375,14119.0810546875,-523.941284179688,1668.35302734375
79,11511.1669921875,12728.982421875,-677.578125,1407.19458007812
79,12286.4052734375,14175.5712890625,-276.911743164062,997.228454589844
80,12134.48828125,14071.6953125,-72.0235595703125,702.4423828125
81,12378.375,14112.119140625,-566.51171875,1651.44555664062
82,12333.6328125,14065.4052734375,-491.322174072266,1457.91345214844
83,12363.87890625,14206.896484375,-540.944091796875,1934.49572753906
83,12516.1767578125,13954.560546875,-568.071655273438,2936.27856445312
86,12160.45703125,14045.470703125,-255.537841796875,621.269287109375
87,12817.419921875,14274.677734375,87.235107421875,551.497619628906
87,12539.869140625,14281.8544921875,-583.181762695312,1662.2939453125
88,12335.61328125,14161.87109375,-57.501220703125,668.319030761719
